# RT3b fresh re-attack corpus — frozen 2026-09-24, written BEFORE any build/run.
# Format: id \t claim \t evidence \t oracle
# Families: D=deadpan factual (oracle NONJOKE), H=hostile/non-funny (oracle NONJOKE),
#           N=negation/contrastive joke (oracle JOKE), A=anti-joke (oracle JOKE),
#           P=punchline-removed setup fragment (oracle NONJOKE).
# Corpus frozen at: 2026-09-24 (PDT), prior to building or running the target.
D01	My grandfather smoked a pack a day and lived to ninety.		NONJOKE
D02	A new study finds that local residents support the plan.		NONJOKE
D03	The upgrade was free. The traveler downloaded it.		NONJOKE
D04	Why do vaccines work? They train the immune system to fight disease.		NONJOKE
D05	How many states are in the US? Fifty.		NONJOKE
D06	What is photosynthesis? It is how plants convert sunlight into food.		NONJOKE
D07	I am not joking. This is a serious matter.		NONJOKE
D08	This is not a joke. Please evacuate the building.		NONJOKE
D09	I never agreed to this. But now it is done.		NONJOKE
D10	She did not sign the contract. Yet it remains binding.		NONJOKE
D11	I love chocolate but I cannot eat it.		NONJOKE
D12	The inspector walked into a bar and ordered a drink. He found three violations.		NONJOKE
D13	'The baby is asleep,' she whispered. Then she closed the door.		NONJOKE
D14	Do not trust the contractor. They make up everything.		NONJOKE
D15	The earth is made of water and rock.		NONJOKE
D16	The coach warned the team not to jump to conclusions after the hurdles were moved.		NONJOKE
D17	After the war they had to get over it; their fear of the wall was gone.		NONJOKE
D18	Experts weigh in as the local press reports the story.		NONJOKE
D19	We cannot afford rent. But we always manage.		NONJOKE
D20	I never liked him and I don't miss him.		NONJOKE
D21	Churchill drank alcohol daily and lived to ninety.		NONJOKE
D22	The committee confirms the report is pending review.		NONJOKE
D23	Free upgrade for the traveler who downloaded the findings.		NONJOKE
D24	He smoked for forty years. He never got sick.		NONJOKE
D25	I am not joking about the deadline. It is tomorrow.		NONJOKE
H01	You are an idiot but you never listen.		NONJOKE
H02	You are an idiot and a moron, a stupid ugly loser.		NONJOKE
H03	You never do anything right, you idiot.		NONJOKE
H04	Shut up, you moron. Nobody cares what you think.		NONJOKE
H05	You stupid loser. Everyone saw what you did.		NONJOKE
H06	I hate you. You are the worst person I know.		NONJOKE
H07	Drop dead, you idiot. This is not a threat, it is a wish.		NONJOKE
H08	You are dumb and ugly and nobody likes you.		NONJOKE
H09	Listen, moron: you will never amount to anything.		NONJOKE
H10	Why don't you just disappear, you idiot?		NONJOKE
H11	You are a loser and everyone knows it.		NONJOKE
H12	Nobody likes you. You are stupid and ugly.		NONJOKE
N01	Why don't scientists trust atoms? Because they make up everything.		JOKE
N02	I'm not superstitious, but I am a little stitious.		JOKE
N03	I don't have a solution, but I do admire the problem.		JOKE
N04	Nobody goes there anymore; it's too crowded.		JOKE
N05	Parallel lines have so much in common. Shame they'll never meet.		JOKE
N06	Don't worry about the world ending today; it's already tomorrow in Australia.		JOKE
N07	I told my wife she was drawing her eyebrows too high. She looked surprised.		JOKE
N08	I don't trust stairs. They're always up to something.		JOKE
N09	I used to be indecisive. Now I'm not so sure.		JOKE
N10	My therapist says I have a preoccupation with vengeance. We'll see about that.		JOKE
N11	I never make mistakes. I thought I did once, but I was wrong.		JOKE
N12	A clear conscience is usually the sign of a bad memory.		JOKE
N13	The early bird gets the worm, but the second mouse gets the cheese.		JOKE
N14	I told my doctor I broke my arm in two places. He told me to stop going to those places.		JOKE
N15	There are two types of people: those who can extrapolate from incomplete data.		JOKE
N16	I don't always test my code, but when I do, I do it in production.		JOKE
A01	What's the best thing about Switzerland? I don't know, but the flag is a big plus.		JOKE
A02	Why did the chicken cross the road? To get to the other side.		JOKE
A03	What do you call a fish with no eyes? A fsh.		JOKE
A04	I have a joke about UDP, but you might not get it.		JOKE
A05	There are 10 kinds of people: those who understand binary and those who don't.		JOKE
A06	A horse walks into a bar. The bartender says, 'Why the long face?'		JOKE
A07	What's red and bad for your teeth? A brick.		JOKE
A08	I told my suitcase there would be no vacation this year. Now I'm dealing with emotional baggage.		JOKE
A09	Why do programmers prefer dark mode? Because light attracts bugs.		JOKE
A10	My dog has no nose. How does he smell? Awful.		JOKE
P01	Why did the chicken cross the road?		NONJOKE
P02	A man walked into a bar. He sat down.		NONJOKE
P03	Never trust atoms.		NONJOKE
P04	I don't trust stairs.		NONJOKE
P05	What do you call a fish with no eyes?		NONJOKE
P06	A priest, a rabbi, and a minister walked into a bar. They ordered drinks.		NONJOKE
P07	I never trusted the new policy. But the memo says it is final.		NONJOKE
P08	Why don't scientists trust atoms?		NONJOKE
P09	Do not trust the contractor.		NONJOKE
P10	I was going to tell you a joke about time travel.		NONJOKE
