D-01	double-negation	LOGIC	NOT(NOT(RAIN()))	RAIN()	expect AFFIRM via NOT(NOT(P))==P canonicalization; proof informative?
D-02	double-negation	LOGIC	RAIN()	NOT(NOT(RAIN()))	mirror of D-01
D-03	double-negation	R12	It is not uncommon for it to rain here.	It rains here often.	text double negation -> AFFIRM?
D-04	double-negation	R12	The plan is not unwise.	The plan is wise.	text double negation -> AFFIRM?
D-05	neg-scope	LOGIC	SOME(birds,NOT(FLIES(birds)))	NOT(ALL(birds,FLIES(birds)))	does the parser accept NOT(ALL(...))? scope of negation over quantifier
D-06	neg-scope	R12	The meeting is at noon.	The meeting is not at eleven but at noon.	documented veto: correction affirms -> AFFIRM
D-07	neg-scope	R12	The meeting is at eleven.	The meeting is not at eleven but at noon.	same shape, claim matches negated part -> DENY?
D-08	neg-scope	R12	She is innocent.	She is not guilty, but she is not innocent either.	double negation in evidence -> ?
D-09	numeric	LOGIC	QTY(senses,at_least,5)	QTY(senses,exactly,5)	subset [5,5]<=[5,inf) -> R-QTY-AFFIRM
D-10	numeric	LOGIC	QTY(senses,exactly,5)	QTY(senses,at_least,5)	compatible not entailed -> NEUTRAL
D-11	numeric	LOGIC	QTY(dose,less_than,3)	QTY(dose,exactly,2)	subset -> AFFIRM
D-12	numeric	LOGIC	QTY(dose,more_than,5)	QTY(dose,exactly,5)	(5,inf) vs [5,5] disjoint -> DENY
D-13	numeric	LOGIC	QTY(dose,exactly,5)	QTY(dose,more_than,5)	mirror -> DENY
D-14	numeric	LOGIC	QTY(time,exactly,5sec)	QTY(time,exactly,5min)	5min converts natively to 300sec -> disjoint intervals -> R-QTY-DENY (principled)
D-15	numeric	LOGIC	QTY(senses,exactly,five)	QTY(senses,exactly,5)	word-number canonicalization -> AFFIRM
D-16	numeric	LOGIC	QTY(senses,range,22,33)	QTY(senses,exactly,25)	subset -> AFFIRM
D-17	numeric	LOGIC	QTY(senses,exactly,25)	QTY(senses,range,22,33)	compatible not entailed -> NEUTRAL
D-18	numeric	LOGIC	QTY(temp,at_least,20)	QTY(temp,exactly,15)	[20,inf) vs [15,15] disjoint -> DENY
D-19	numeric	R12	The hike takes at least five hours.	The hike takes five hours.	text subset -> AFFIRM?
D-20	numeric	R12	The hike takes five hours.	The hike takes at least five hours.	compatible not entailed -> NEUTRAL?
D-21	numeric	R12	Fewer than three people came.	Two people came.	text subset -> AFFIRM?
D-22	numeric	R12	More than five people came.	Five people came.	disjoint -> DENY?
D-23	numeric	R12	The dose is 5mg.	The dose is five milligrams.	word/digit equivalence -> AFFIRM?
D-24	causal-chain	LOGIC	CAUSE(RAIN(),FLOOD())	CAUSE(RAIN(),RIVER_RISE());CAUSE(RIVER_RISE(),FLOOD())	no chained causation (documented) -> NEUTRAL
D-25	causal-chain	LOGIC	CAUSE(SMOKE(),ALARM())	IF(SMOKE(),ALARM());SMOKE()	IF+fact does not affirm causal claim -> NEUTRAL
