A-01-r0	Drinking green tea prevents heart disease.	A-01	2	Daily green tea drinkers have healthy hearts, confirming that green tea prevents heart disease.
A-01-r1	Drinking green tea prevents heart disease.	A-01	1	People with healthy hearts often drink green tea every day.
A-01-r2	Drinking green tea prevents heart disease.	A-01	0	My grandfather drank green tea daily and never had heart trouble.
A-02-r0	Owning a dog makes children more empathetic.	A-02	2	Empathetic children often grow up with dogs, showing that owning a dog makes children more empathetic.
A-02-r1	Owning a dog makes children more empathetic.	A-02	1	Children in dog-owning households score higher on empathy measures.
A-02-r2	Owning a dog makes children more empathetic.	A-02	0	Our kids became so kind after we got a puppy.
A-03-r0	Rain dances cause rainfall.	A-03	2	It rained after the tribe performed the rain dance, proving the dance brings rain.
A-03-r1	Rain dances cause rainfall.	A-03	1	Rainfall was recorded the day after the ceremony.
A-03-r2	Rain dances cause rainfall.	A-03	0	They danced for rain and the skies opened up.
A-04-r0	Eating spinach builds strong bones.	A-04	1	Children with strong bones eat spinach regularly, which shows spinach builds strong bones.
A-04-r1	Eating spinach builds strong bones.	A-04	1	Spinach is common in the diets of children with healthy bones.
A-04-r2	Eating spinach builds strong bones.	A-04	-1	Strong-boned kids all eat their spinach.
A-05-r0	Meditation cures chronic pain.	A-05	1	People who meditate report less chronic pain, confirming meditation cures it.
A-05-r1	Meditation cures chronic pain.	A-05	0	After a month of meditation my back pain was gone for good.
A-05-r2	Meditation cures chronic pain.	A-05	-1	Meditators do not suffer chronic pain.
A-06-r0	Cold weather causes the common cold.	A-06	1	Colds are most common in cold weather, which proves cold weather causes colds.
A-06-r1	Cold weather causes the common cold.	A-06	0	Every winter I catch a cold as soon as it turns cold.
A-06-r2	Cold weather causes the common cold.	A-06	-1	Cold air gives you a cold, everyone knows that.
A-07-r0	Ice cream sales cause drowning deaths.	A-07	2	Drowning deaths rise in months when ice cream sales peak, indicating sales drive the deaths.
A-07-r1	Ice cream sales cause drowning deaths.	A-07	1	The two statistics track each other closely through the summer.
A-07-r2	Ice cream sales cause drowning deaths.	A-07	0	More ice cream sold, more drownings. The link is obvious.
A-08-r0	Carrying a lighter causes lung cancer.	A-08	1	Most lung cancer patients carry lighters, showing that carrying one causes the disease.
A-08-r1	Carrying a lighter causes lung cancer.	A-08	0	Smokers carry lighters and get cancer. The lighter is the common factor.
A-08-r2	Carrying a lighter causes lung cancer.	A-08	-1	Lighter owners get lung cancer far more often.
A-09-r0	Full moons cause crime spikes.	A-09	2	Police logs show more incidents during full moons, proving the moon causes crime spikes.
A-09-r1	Full moons cause crime spikes.	A-09	1	Arrest counts climb on full-moon nights.
A-09-r2	Full moons cause crime spikes.	A-09	0	Ask any cop: full moon, busy night.
A-10-r0	Wearing glasses makes eyesight worse.	A-10	1	People who wear glasses have worse eyesight than those who do not, so glasses must weaken eyes.
A-10-r1	Wearing glasses makes eyesight worse.	A-10	0	My vision got worse every year I wore glasses.
A-10-r2	Wearing glasses makes eyesight worse.	A-10	-1	Glasses wearers keep needing stronger prescriptions.
A-11-r0	The defendant is innocent.	A-11	1	The jury did not find the defendant guilty, establishing his innocence.
A-11-r1	The defendant is innocent.	A-11	1	No guilty verdict was returned, so the defendant is innocent.
A-11-r2	The defendant is innocent.	A-11	0	Not guilty means innocent, case closed.
A-12-r0	The water is safe to drink.	A-12	1	No contaminants were detected in the sample, so the water is safe to drink.
A-12-r1	The water is safe to drink.	A-12	1	Lab tests found nothing harmful in the water.
A-12-r2	The water is safe to drink.	A-12	0	They tested it and found nothing, totally safe.
A-13-r0	The vaccine has no side effects.	A-13	1	No serious side effects were observed in the trial, proving the vaccine has none.
A-13-r1	The vaccine has no side effects.	A-13	2	Trial monitors recorded zero serious reactions.
A-13-r2	The vaccine has no side effects.	A-13	0	Nobody in the trial had any reaction at all.
A-14-r0	The restaurant is clean.	A-14	1	The inspector found no violations, which means the restaurant is clean.
A-14-r1	The restaurant is clean.	A-14	0	Passed inspection with zero violations, spotless.
A-14-r2	The restaurant is clean.	A-14	-1	No violations on record, so it must be clean.
A-15-r0	The meeting is at 5pm.	A-15	0	The meeting is scheduled for 11am.
A-15-r1	The meeting is at 5pm.	A-15	-1	Calendar invite says eleven in the morning.
A-16-r0	The dosage is exactly 5mg.	A-16	1	Patients received 20mg doses.
