ITEM|SMUGGLE|SM-001|The cat sat on the mat. The moon is made of cheese.|CATCH
ITEM|SMUGGLE|SM-002|The dog slept in the house. The cat flew to the moon.|CATCH
ITEM|SMUGGLE|SM-003|The child waited on the mat. Birds drive cars at night.|CATCH
ITEM|SMUGGLE|SM-004|The cat is happy. All cats can fly.|CATCH
ITEM|SMUGGLE|SM-005|The dog is big. The dog built the car.|CATCH
ITEM|SMUGGLE|SM-006|Half of the crew left. The moon is a lantern.|CATCH
ITEM|SMUGGLE|SM-007|The chef built the house. The chef swam across the desert.|CATCH
ITEM|SMUGGLE|SM-008|The moon is in the sky. Fish climb trees when it rains.|CATCH
ITEM|SMUGGLE|SM-009|The child bought the car. The car drank the ocean.|CATCH
ITEM|SMUGGLE|SM-010|The sun is hot. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-011|The cat chased the dog. The dog built the car.|CATCH
ITEM|SMUGGLE|SM-012|The floor is cold. The moon is made of cheese.|CATCH
ITEM|SMUGGLE|SM-013|The cook bought the cake. The chef swam across the desert.|CATCH
ITEM|SMUGGLE|SM-014|The birds left in the morning. Birds drive cars at night.|CATCH
ITEM|SMUGGLE|SM-015|The ocean is deep. The car drank the ocean.|CATCH
ITEM|SMUGGLE|SM-016|The student taught the dancer. Fish climb trees when it rains.|CATCH
ITEM|SMUGGLE|SM-017|The guard chased the musician. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-018|The team left the house. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-019|The guests sang at night. The moon is a lantern.|CATCH
ITEM|SMUGGLE|SM-020|None of the crew sang. All cats can fly.|CATCH
ITEM|SMUGGLE|SM-021|The dog sat on the rug. The cat flew to the moon.|CATCH
ITEM|SMUGGLE|SM-022|The child sat in the house. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-023|The dog chased the cat. The cat flew to the moon.|CATCH
ITEM|SMUGGLE|SM-024|The cat is a feline. All cats can fly.|CATCH
ITEM|SMUGGLE|SM-025|The dog is a canine. The dog built the car.|CATCH
ITEM|SMUGGLE|SM-026|All felines are mammals. The moon is made of cheese.|CATCH
ITEM|SMUGGLE|SM-027|The mat is in the house. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-028|The porch is near the house. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-029|Birds fly in the sky. Birds drive cars at night.|CATCH
