B-01	0	1	R-IDENT-AFFIRM	0	5	16	0	40	0	2
B-02	0	0		0	5	48	0	8	0	1
B-03	0	0		0	5	48	0	8	0	1
B-04	0	1	R-IDENT-AFFIRM	0	5	56	0	0	0	0
B-05	0	1	R-IDENT-AFFIRM	0	5	24	32	0	1	0
B-06	0	0		0	5	56	0	0	0	0
B-07	0	0		0	5	56	0	0	0	0
B-08	0	0		0	5	48	0	8	0	1
B-09	0	1	R-QTY-AFFIRM	0	5	20	0	0	0	0
B-10	0	1	R-QTY-AFFIRM	0	5	20	0	0	0	0
B-11	0	1	R-QTY-AFFIRM	0	5	56	0	0	0	0
B-12	0	1	R-QTY-AFFIRM	0	5	48	0	8	0	1
B-13	0	1	R-QTY-AFFIRM	0	5	56	0	0	0	0
B-14	0	1	R-IDENT-AFFIRM	0	5	56	0	0	0	0
B-15	0	1	R-IDENT-AFFIRM	0	5	0	56	0	3	0
B-16	0	1	R-IDENT-AFFIRM	0	5	40	16	0	1	0
B-17	0	1	R-IDENT-AFFIRM	0	5	48	0	0	0	0
B-18	0	1	R-IDENT-AFFIRM	0	5	56	0	0	0	0
B-19	0	1	R-IDENT-AFFIRM	0	5	48	8	0	1	0
B-20	0	1	R-IDENT-AFFIRM	0	5	40	8	0	1	0
B-21	0	1	R-COND-MP	0	5	4	9	0	2	0
B-22	0	1	R-COND-MP	0	5	13	0	0	0	0
B-23	0	1	R-COND-MP	0	5	13	0	0	0	0
B-24	0	1	R-COND-MP	0	5	12	0	8	0	1
B-25	0	1	R-QTY-AFFIRM	0	5	5	0	0	0	0
B-26	0	1	R-QTY-AFFIRM	0	5	4	0	8	0	1
B-27	0	1	R-QTY-AFFIRM	0	5	1	0	4	0	1
B-28	0	1	R-QTY-AFFIRM	0	5	1	0	4	0	1
B-29	0	1	R-IDENT-AFFIRM	0	5	48	0	0	0	0
B-30	0	0		0	5	24	0	32	0	1
B-31	0	0		0	5	56	0	0	0	0
B-32	0	1	R-IDENT-AFFIRM	0	5	4	16	0	2	0
