# Guard set round 3 — sincere contrastive negatives (NG19+) plus the RT3c
# deadpan contrastives (D21-D23) promoted to permanent negatives.
# Format: id \t claim \t evidence \t oracle(=NONJOKE). Runner feeds claim only.
NG19	I don't hate the new schedule; I love the old one.		rt3c-D21 sincere contrast antonym	NONJOKE
NG20	We don't enjoy the audit, but we do finish it on time.		rt3c-D22 sincere contrast auxflip	NONJOKE
NG21	I can't approve the request, but I can review it again tomorrow.		rt3c-D23 sincere contrast auxflip	NONJOKE
NG22	I don't dislike the proposal; I simply prefer the alternative.		sincere contrast neutral antonym	NONJOKE
NG23	She can't attend the meeting, but she can send her notes in advance.		sincere contrast can't/can new verbs	NONJOKE
NG24	We don't serve breakfast, but we do serve lunch all day.		sincere contrast don't/do new verbs	NONJOKE
NG25	I never skip meetings. I attend every one on time.		sincere never, no undercut	NONJOKE
NG26	He's not unhappy with the results; he's pleased with the progress.		sincere neg+positive neutral object	NONJOKE
NG27	I would help you move, but I did not bring the van.		sincere tense twist no pronoun	NONJOKE
NG28	I don't eat meat, but I do eat fish on Fridays.		sincere contrast don't/do new verbs	NONJOKE
NG29	I'm not saying the plan is bad. I'm saying we need more time.		sincere not-saying clarification	NONJOKE
NG30	I don't hate the new schedule; I love it.		sincere antonym same-referent neutral (valence gate)	NONJOKE
NG31	I never agreed to this, but I was wrong about the timeline.		sincere never/was-wrong, no thought-admission	NONJOKE
NG32	The committee won't approve the budget, but it will review the appeal.		sincere won't/will new verbs	NONJOKE
