COST-D1-001	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-002	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-003	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-004	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-005	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-006	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-007	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-008	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-009	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-010	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-011	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-012	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-013	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-014	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-015	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-016	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-017	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-018	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D1-019	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D1-020	4	4	4	4	8	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-001	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-002	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-003	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-004	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-005	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-006	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-007	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-008	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-009	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-010	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-011	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-012	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-013	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-014	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-015	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-016	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-017	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-018	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D2-019	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D2-020	4	4	4	4	6	ABSTAIN:evidence-remaining	A	0	0	evidence-remaining
COST-D3-001	4	4	4	4	5	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D3-002	4	4	4	4	5	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D3-003	4	4	4	4	5	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D3-004	4	4	4	4	5	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D3-005	4	4	4	4	5	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
COST-D3-006	4	4	4	4	5	ABSTAIN:evidence-remaining	A	0	1	evidence-remaining
