R27-01	state_type	isinstance(st,R27.R27State)			reviewed	R27-01_SERIALIZED_EXACT_CLASS,1,	equivalent		
R27-02	format	format == TNN_PRE_V1_R27_GENERAL_LEARNING			rows	B_ROW,R27-02,PASS,	direct		
R27-03	zero_restarts	newborn_restarts == 0			rows	B_ROW,R27-03,PASS,	direct		
R27-04	development_step	development_step == 60423			rows	B_ROW,R27-04,PASS,	direct		
R27-05	digest_matches_summary	digest() == summary.digest			r27_digest	R27_NATIVE_DIGEST,562aaaedb5b9ceec2f50482f631992c247cbe50e9f6d2321b811e311ecf73b04	direct		
R27-06	r26_sha	r26_sha256 == SHA256(r26 accepted state)	Admit complete standalone state/r26-accepted-state.pkl by SHA256 df3acde273aa682642d13763a24208ff1dbb42968313cbe2a4256f7ccbc1f839; stored linkage text and embedded native base object do not determine historical serialization bytes.	Exact standalone bytes, recomputed hash and native comparison to retained linkage.			direct	state/r26-accepted-state.pkl	df3acde273aa682642d13763a24208ff1dbb42968313cbe2a4256f7ccbc1f839
R27-07	r26_digest	base_state.digest() == historical R26 digest			r26_digest	R26_NATIVE_DIGEST,44d36746ffb9e8d46080376a6e26bb824772d9d4b5e429add404195d02888649	direct		
R27-08	abstraction_s2g	serialized abstraction model SOCIAL_FAR accuracy >= .95	Serialized model/centroid/df/docs bytes exist, but complete inference semantics and SOCIAL_NEAR/SOCIAL_FAR examples, labels, evaluation and tie rules are not admitted. No native inference/evaluator equivalent exists in reviewed sources.	Bind original model inference and example/evaluator definitions and implement/test a native equivalent. Stored accuracy is witness data, not recomputed prediction.			direct		
R27-09	abstraction_g2s	serialized abstraction model mixed SOCIAL_NEAR/FAR accuracy >= .90	Serialized model/centroid/df/docs bytes exist, but complete inference semantics and SOCIAL_NEAR/SOCIAL_FAR examples, labels, evaluation and tie rules are not admitted. No native inference/evaluator equivalent exists in reviewed sources.	Bind original model inference and example/evaluator definitions and implement/test a native equivalent. Stored accuracy is witness data, not recomputed prediction.			direct		
R27-10	anonymous_abstraction_ids	all centroid keys are integers			rows	B_ROW,R27-10,PASS,	direct		
R27-11	category_partial	category_large15.clean_accuracy < .80			rows	B_ROW,R27-11,PASS,	direct		
R27-12	category_training_gain	category_dose.gain >= .10			rows	B_ROW,R27-12,PASS,	direct		
R27-13	category_metric_rollback	category_metric.decision == ROLLBACK			rows	B_ROW,R27-13,PASS,	direct		
R27-14	affordance_not_promoted	affordance.decision == PARTIAL			rows	B_ROW,R27-14,PASS,	direct		
R27-15	speech_partial	speech word_accuracy >= .70 and < vad_control_accuracy			rows	B_ROW,R27-15,PASS,	direct		
R27-16	speech_not_active	speech_motif_decoder is None			rows	B_ROW,R27-16,PASS,	direct		
R27-17	generation_retained	semantic_generation.decision == RETAIN_R23_R25_GENERATOR			rows	B_ROW,R27-17,PASS,	direct		
R27-18	generator_shared_with_base	semantic_generator is base_state.semantic_generator			reviewed	R27-18_SERIALIZED_MEMO_IDENTITY,1,	equivalent		
R27-19	video_noise_retained	video_noise.decision == RETAIN_R26_HEAD			rows	B_ROW,R27-19,PASS,	direct		
R27-20	visual_debate_partial	visual_debate.decision == PARTIAL			rows	B_ROW,R27-20,PASS,	direct		
R27-21	no_category_active	category_system.active is False			rows	B_ROW,R27-21,PASS,	direct		
